State,District,Market,Commodity,Variety,Grade,observations,start_date,end_date,calendar_span_days,median_gap_days,max_gap_days,consecutive_day_pairs,continuity_pct
Himachal Pradesh,Mandi,SMY Jogindernagar,Cabbage,Cabbage,Grade B,209,2025-11-14,2026-09-04,295,1.0,7.0,150,72.11538461538461
NCT of Delhi,Delhi,"Fruit&Vegetable Market,Gazipur APMC",Cabbage,Cabbage,FAQ,193,2025-11-16,2026-09-02,291,1.0,6.0,138,71.875
Haryana,Panipat,Panipat APMC,Cabbage,Other,Local,200,2025-11-08,2026-09-03,300,1.0,14.0,143,71.85929648241206
Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Cabbage,Other,FAQ,196,2025-11-10,2026-09-02,297,1.0,7.0,140,71.7948717948718
Maharashtra,Satara,APMC Karad,Cabbage,Other,Local,210,2025-11-08,2026-09-03,300,1.0,5.0,150,71.77033492822966
Keralam,Alappuzha,Madhavapuram Market,Cabbage,Other,FAQ,188,2025-11-08,2026-08-26,292,1.0,7.0,134,71.65775401069519
Haryana,Sonipat,Sonepat APMC,Cabbage,Other,FAQ,194,2025-11-08,2026-09-03,300,1.0,13.0,138,71.50259067357513
Gujarat,Anand,Khambhat(Veg Yard Khambhat) APMC,Cabbage,Other,Local,222,2025-11-08,2026-09-04,301,1.0,4.0,158,71.49321266968326
Maharashtra,Pune,Khed(Chakan),Cabbage,Other,Local,211,2025-11-11,2026-09-04,298,1.0,7.0,150,71.42857142857143
Haryana,Panipat,Samalkha APMC,Cabbage,Cabbage,FAQ,203,2025-11-13,2026-09-04,296,1.0,6.0,144,71.28712871287128
Uttarakhand,Haridwar,Haridwar Union APMC,Cabbage,Other,FAQ,180,2025-11-29,2026-08-07,252,1.0,4.0,127,70.94972067039106
Punjab,Patiala,Patran APMC,Cabbage,Other,Grade A,183,2025-11-11,2026-09-03,297,1.0,6.0,129,70.87912087912088
Punjab,Kapurthala,Phagwara APMC,Cabbage,Other,FAQ,207,2025-11-10,2026-09-02,297,1.0,5.0,146,70.87378640776699
Keralam,Kottayam,Pampady Market,Cabbage,Cabbage,FAQ,200,2025-11-15,2026-09-02,292,1.0,6.0,140,70.35175879396985
Maharashtra,Jalgaon,APMC Bhusaval,Cabbage,Other,Local,206,2025-11-08,2026-09-04,301,1.0,7.0,144,70.24390243902438
Himachal Pradesh,Solan,SMY Nalagarh,Cabbage,Other,Medium,201,2025-11-10,2026-09-03,298,1.0,8.0,140,70.0
Maharashtra,Nagpur,APMC Hingna,Cabbage,Other,Local,214,2025-11-08,2026-09-03,300,1.0,5.0,149,69.95305164319248
Keralam,Idukki,Kattappana Market,Cabbage,Other,Medium,187,2025-11-09,2026-09-01,297,1.0,16.0,130,69.89247311827957
Keralam,Thiruvananthapuram,Balarampuram Market,Cabbage,Cabbage,FAQ,204,2025-11-17,2026-08-31,288,1.0,6.0,140,68.96551724137932
Keralam,Kottayam,Athirampuzha Market,Cabbage,Cabbage,FAQ,200,2025-11-10,2026-09-03,298,1.0,5.0,137,68.84422110552764
Keralam,Idukki,Adimali Market,Cabbage,Cabbage,Medium,209,2025-11-08,2026-09-02,299,1.0,4.0,143,68.75
Karnataka,Kolar,Bangarpet APMC,Cabbage,Cabbage,Local,199,2025-11-11,2026-09-03,297,1.0,7.0,136,68.68686868686868
Keralam,Ernakulam,Perumbavoor Market,Cabbage,Cabbage,Medium,182,2025-11-15,2026-09-04,294,1.0,8.0,123,67.95580110497238
Keralam,Thiruvananthapuram,Vamanapuram Market,Cabbage,Cabbage,FAQ,203,2025-11-12,2026-09-03,296,1.0,5.0,137,67.82178217821783
Keralam,Kasargod,Neeleswaram Market,Cabbage,Other,FAQ,186,2025-11-11,2026-09-01,295,1.0,7.0,125,67.56756756756756
Maharashtra,Pune,Junnar(Narayangaon),Cabbage,Other,Local,191,2025-11-08,2026-08-31,297,1.0,5.0,128,67.36842105263158
Keralam,Ernakulam,Broadway market Market,Cabbage,Cabbage,Medium,180,2025-11-25,2026-09-02,282,1.0,7.0,120,67.0391061452514
Keralam,Malappuram,Perinthalmanna Market,Cabbage,Cabbage,Large,191,2025-11-10,2026-09-01,296,1.0,7.0,127,66.84210526315789
Himachal Pradesh,Kangra,SMY Nagrota Bagwan,Cabbage,Cabbage,FAQ,197,2025-11-10,2026-09-01,296,1.0,8.0,131,66.83673469387756
Keralam,Kottayam,Kottayam Market,Cabbage,Cabbage,FAQ,183,2025-11-09,2026-09-02,298,1.0,5.0,121,66.48351648351648
Keralam,Ernakulam,Piravam Market,Cabbage,Cabbage,Local,197,2025-11-09,2026-09-03,299,1.0,10.0,129,65.81632653061224
Keralam,Ernakulam,Kothamangalam Market,Cabbage,Cabbage,FAQ,204,2025-11-13,2026-09-04,296,1.0,6.0,133,65.51724137931035
Keralam,Thiruvananthapuram,Attingal Market,Cabbage,Other,Local,202,2025-11-11,2026-09-03,297,1.0,5.0,131,65.17412935323384
Keralam,Idukki,Vandiperiyar Market,Cabbage,Other,Grade Range-1,196,2025-11-10,2026-09-01,296,1.0,5.0,127,65.12820512820512
Gujarat,Ahmedabad,Ahmedabad APMC,Cabbage,Other,FAQ,192,2025-11-08,2026-09-02,299,1.0,7.0,124,64.92146596858639
Keralam,Thirssur,Chavakkad Market,Cabbage,Cabbage,FAQ,194,2025-11-12,2026-09-03,296,1.0,6.0,123,63.730569948186535
Keralam,Kasargod,Manjeswaram Market,Cabbage,Cabbage,FAQ,193,2025-11-10,2026-09-03,298,1.0,5.0,122,63.54166666666666
Maharashtra,Jalgaon,APMC Jalgaon,Cabbage,Other,Local,188,2025-11-08,2026-09-03,300,1.0,6.0,116,62.03208556149733
Keralam,Thirssur,Wadakkanchery Market,Cabbage,Cabbage,FAQ,183,2025-11-11,2026-09-02,296,1.0,6.0,109,59.89010989010989
Maharashtra,Nagpur,APMC Nagpur,Cabbage,Other,Local,190,2025-11-08,2026-09-02,299,1.0,5.0,109,57.67195767195767
