State,District,Market,Commodity_Group,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Unit,Arrival_Quantity,Arrival_Unit,Date
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.21,Metric Tonnes,2026-03-09
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.23,Metric Tonnes,2026-03-10
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.21,Metric Tonnes,2026-03-11
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.2,Metric Tonnes,2026-03-12
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.22,Metric Tonnes,2026-03-13
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.23,Metric Tonnes,2026-03-14
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.22,Metric Tonnes,2026-03-15
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.23,Metric Tonnes,2026-03-16
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.22,Metric Tonnes,2026-03-17
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.23,Metric Tonnes,2026-03-18
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.2,Metric Tonnes,2026-03-19
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.21,Metric Tonnes,2026-03-20
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.22,Metric Tonnes,2026-03-21
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.22,Metric Tonnes,2026-03-22
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.23,Metric Tonnes,2026-03-23
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.24,Metric Tonnes,2026-03-24
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.23,Metric Tonnes,2026-03-25
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.24,Metric Tonnes,2026-03-26
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.26,Metric Tonnes,2026-03-27
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.27,Metric Tonnes,2026-03-28
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.26,Metric Tonnes,2026-03-29
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.23,Metric Tonnes,2026-03-30
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.24,Metric Tonnes,2026-03-31
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.22,Metric Tonnes,2026-04-01
